Year: 2018  Month: 09  ID: DIS  ARGOS:  8932  Name: Dismal Island       
Lat: 68.09S  Lon:  68.82W  Elev:   10m
2018 263  9 20 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 263  9 20 1800  444.0 1009.8    4.0  226.0  444.0  444.0
2018 263  9 20 2100  444.0 1006.9    3.3  237.0   89.0  444.0
2018 264  9 21 0000  444.0 1008.4    1.9  203.0   88.0  444.0
2018 264  9 21 0300  444.0 1006.9    3.7  263.0   87.0  444.0
2018 264  9 21 0600  444.0 1007.9    1.4  240.0   83.0  444.0
2018 264  9 21 0900  444.0 1008.4    0.3  199.0   87.0  444.0
2018 264  9 21 1200  444.0 1008.8    0.8  218.0   90.0  444.0
2018 264  9 21 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 264  9 21 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 264  9 21 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 265  9 22 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 265  9 22 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 265  9 22 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 265  9 22 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 265  9 22 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 265  9 22 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 265  9 22 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 265  9 22 2100  444.0 1001.1    4.9   34.0   91.0  444.0
2018 266  9 23 0000  444.0 1000.6    3.0   43.0   91.5  444.0
2018 266  9 23 0300  444.0 1001.2    1.1   44.0   90.0  444.0
2018 266  9 23 0600  444.0 1000.0    3.6  177.0   91.0  444.0
2018 266  9 23 0900  444.0  998.5    5.3  182.0   91.4  444.0
2018 266  9 23 1200  444.0  998.8    3.6  207.0   91.0  444.0
2018 266  9 23 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 266  9 23 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 266  9 23 2100  444.0  998.9    3.8  285.0   90.0  444.0
2018 267  9 24 0000  444.0  999.9    4.7  292.0   86.5  444.0
2018 267  9 24 0300  444.0 1001.9    4.4  290.0   85.0  444.0
2018 267  9 24 0600  444.0 1002.7    3.4  257.0   85.0  444.0
2018 267  9 24 0900  444.0 1004.7    3.5  270.0   84.0  444.0
2018 267  9 24 1200  444.0 1005.8    2.3  262.0   84.0  444.0
2018 267  9 24 1500  444.0 1004.9    3.2  274.0   84.2  444.0
2018 267  9 24 1800  444.0 1004.6    2.4  289.0   83.1  444.0
2018 267  9 24 2100  444.0 1003.4    2.3  315.0   82.0  444.0
2018 268  9 25 0000  444.0 1002.5    2.4   19.0   86.0  444.0
2018 268  9 25 0300  444.0 1004.3    1.3   17.0   81.4  444.0
2018 268  9 25 0600  444.0 1006.0    0.8   84.0   81.0  444.0
2018 268  9 25 0900  444.0 1007.9    0.7  134.0   84.0  444.0
2018 268  9 25 1200  444.0 1005.7    1.5  177.0   86.0  444.0
2018 268  9 25 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 268  9 25 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 268  9 25 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018 269  9 26 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018 269  9 26 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018 269  9 26 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 269  9 26 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018 269  9 26 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 269  9 26 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 269  9 26 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 269  9 26 2100  444.0  974.2    7.7   11.0  444.0  444.0
2018 270  9 27 0000  444.0  975.2    6.7   25.0   85.6  444.0
2018 270  9 27 0300  444.0  975.8    6.1   46.0   90.1  444.0
2018 270  9 27 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018 270  9 27 0900  444.0  977.8    8.0   64.0  444.0  444.0
2018 270  9 27 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018 270  9 27 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 270  9 27 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018 270  9 27 2100  444.0  976.3    7.6  241.0   87.1  444.0
2018 271  9 28 0000  444.0  977.2    5.5  255.0   94.0  444.0
2018 271  9 28 0300  444.0  980.2    3.4  269.0   86.0  444.0
2018 271  9 28 0600  444.0  984.8    3.1  255.0   86.0  444.0
2018 271  9 28 0900  444.0  986.9    4.0  269.0   83.1  444.0
2018 271  9 28 1200  444.0  991.6    3.9  274.0   80.0  444.0
2018 271  9 28 1500  444.0  995.3    4.3  253.0   79.6  444.0
2018 271  9 28 1800  444.0  996.7    4.2  261.0   79.8  444.0
2018 271  9 28 2100  444.0  996.7    4.5  267.0   79.8  444.0
2018 272  9 29 0000  444.0  999.1    2.5  296.0   84.6  444.0
2018 272  9 29 0300  444.0 1000.3    2.5  300.0   85.3  444.0
2018 272  9 29 0600  444.0 1000.9    3.3  310.0   85.0  444.0
2018 272  9 29 0900  444.0 1001.4    3.0  351.0   86.0  444.0
2018 272  9 29 1200  444.0 1001.5    1.9    8.0   82.0  444.0
2018 272  9 29 1500  444.0 1001.3    0.2   21.0   81.0  444.0
2018 272  9 29 1800  444.0  997.8    3.5   73.0   81.0  444.0
2018 272  9 29 2100  444.0  996.1    7.0   55.0   76.7  444.0
2018 273  9 30 0000  444.0  993.7    8.1   26.0   84.0  444.0
2018 273  9 30 0300  444.0  992.6    6.4   15.0   88.9  444.0
2018 273  9 30 0600  444.0  991.5    3.1    2.0   88.0  444.0
2018 273  9 30 0900  444.0  989.6    0.0  124.0   88.6  444.0
2018 273  9 30 1200  444.0  989.2    0.0  124.0   89.3  444.0
2018 273  9 30 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018 273  9 30 1800  444.0  982.4    5.0  193.0   88.0  444.0
2018 273  9 30 2100  444.0  981.8    2.5  211.0   88.1  444.0
