Year: 2018  Month: 01  ID: MTS  ARGOS:  8981  Name: Mount Siple         
Lat: 73.20S  Lon: 127.06W  Elev:  230m
2018  19  1 19 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  20  1 20 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  20  1 20 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  20  1 20 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  20  1 20 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  20  1 20 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  20  1 20 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  20  1 20 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  20  1 20 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  21  1 21 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  21  1 21 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  21  1 21 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  21  1 21 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  21  1 21 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  21  1 21 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  21  1 21 1800   -8.5  953.4  444.0  444.0  444.0  444.0
2018  21  1 21 2100   -8.1  954.6  444.0  444.0  444.0  444.0
2018  22  1 22 0000   -7.4  955.9  444.0  444.0  444.0  444.0
2018  22  1 22 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  22  1 22 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  22  1 22 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  22  1 22 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  22  1 22 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  22  1 22 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  22  1 22 2100   -8.0  954.7  444.0  444.0  444.0  444.0
2018  23  1 23 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  23  1 23 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  23  1 23 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  23  1 23 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  23  1 23 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  23  1 23 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  23  1 23 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  23  1 23 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  24  1 24 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  24  1 24 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  24  1 24 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  24  1 24 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  24  1 24 1200  444.0  444.0  444.0  444.0  444.0  444.0
2018  24  1 24 1500  444.0  444.0  444.0  444.0  444.0  444.0
2018  24  1 24 1800  444.0  444.0  444.0  444.0  444.0  444.0
2018  24  1 24 2100  444.0  444.0  444.0  444.0  444.0  444.0
2018  25  1 25 0000  444.0  444.0  444.0  444.0  444.0  444.0
2018  25  1 25 0300  444.0  444.0  444.0  444.0  444.0  444.0
2018  25  1 25 0600  444.0  444.0  444.0  444.0  444.0  444.0
2018  25  1 25 0900  444.0  444.0  444.0  444.0  444.0  444.0
2018  25  1 25 1200  444.0  444.0  444.0  444.0  444.0  444.0
