Year: 2018  Month: 07  ID: WFD  ARGOS: 99502  Name: Willie Field        
Lat: 77.88S  Lon: 166.96E  Elev:   12m
2018 208  7 27 0600  -26.1  994.3    4.9   30.9   66.3    1.5
2018 208  7 27 0900  -28.9  992.5    3.9  107.6   66.8    1.3
2018 208  7 27 1200  -20.7  991.2    4.0  355.1   49.3    5.1
2018 208  7 27 1500  -30.4  989.5    4.4   57.3   76.3    2.8
2018 208  7 27 1800  -28.6  986.6    5.0  128.8   75.5    3.1
2018 208  7 27 2100  -25.9  986.8    1.0  328.6   70.9    1.7
2018 209  7 28 0000  -25.0  988.4    4.7   15.4   77.0    3.4
2018 209  7 28 0300  -29.1  986.8    2.4  103.0   80.3    5.1
2018 209  7 28 0600  -30.2  988.2    2.5  129.9   79.3    4.4
2018 209  7 28 0900  -29.6  989.1    1.3   16.6   76.8    6.9
2018 209  7 28 1200  -36.2  991.2    3.4  107.8   68.7    0.6
2018 209  7 28 1500  -32.5  994.2    3.7    8.9   74.4    2.5
2018 209  7 28 1800  -31.9  996.0    1.3   35.5   75.4    0.4
2018 209  7 28 2100  -27.6  998.1    4.1   15.1   81.7    3.8
2018 210  7 29 0000  -26.0 1000.1    0.9   57.0   80.6    2.9
2018 210  7 29 0300  -34.7 1000.9    4.1   54.4   71.7    1.3
2018 210  7 29 0600  -36.5 1003.8    5.8   26.3   68.9    0.4
2018 210  7 29 0900  -38.5 1005.2    4.3   56.0   66.5    0.7
2018 210  7 29 1200  -37.3 1006.5    3.6   36.8   66.8    0.3
2018 210  7 29 1500  -31.4 1005.2    3.9    8.3   75.9    0.7
2018 210  7 29 1800  -35.4 1004.8    1.7  112.5   68.2    0.7
2018 210  7 29 2100  -34.6 1004.8    3.8   83.2   71.4    4.3
2018 211  7 30 0000  -36.3 1004.7    2.7   55.4   68.2    1.5
2018 211  7 30 0300  -35.5 1004.4    0.6  226.8   71.2    2.7
2018 211  7 30 0600  -29.6 1003.8    2.4  235.0   76.3    1.5
2018 211  7 30 0900  -34.2 1004.0    1.5   35.1   71.7    3.7
2018 211  7 30 1200  -34.1 1004.6    2.7   30.7   72.9    4.0
2018 211  7 30 1500  -34.8 1004.7    2.4   25.0   71.8    2.2
2018 211  7 30 1800  -33.0 1005.5    2.4   55.0   71.2    3.1
2018 211  7 30 2100  -31.4 1006.2    2.7   15.3   74.6    5.6
2018 212  7 31 0000  -38.1 1008.0    1.7   92.4   66.2    3.6
2018 212  7 31 0300  -41.5 1009.9    1.8   18.9   63.4    0.9
2018 212  7 31 0600  -38.7 1010.9    1.5   39.0   67.3    1.9
2018 212  7 31 0900  -36.6 1011.9    1.1   41.2   71.3    5.6
2018 212  7 31 1200  -39.6 1012.1    1.3   48.1   64.1    1.5
2018 212  7 31 1500  -39.1 1011.6    0.4  125.8   65.9    2.7
2018 212  7 31 1800  -39.4 1011.5    0.3  144.7   64.3    3.0
2018 212  7 31 2100  -40.1 1011.9    0.5   14.9   65.2    1.6
