Year: 2018  Month: 01  ID: WDB  ARGOS:  9506  Name: WINDLESS BIGHT      
Lat: 77.73S  Lon: 167.70E  Elev:   40m
2018  19  1 19 0000   -6.5  974.7    2.6   79.3   87.2   -1.5
2018  19  1 19 0300   -2.7  974.4    2.6  298.3   60.7   -0.0
2018  19  1 19 0600  444.0  974.7    0.8   72.8   53.6   -0.1
2018  19  1 19 0900   -2.6  974.7    2.9  329.4   48.4    1.0
2018  19  1 19 1200   -2.8  974.2    1.8   18.8   43.6    1.8
2018  19  1 19 1500   -8.7  973.3    2.5   32.9   93.6    0.7
2018  19  1 19 1800   -6.5  973.5    0.6   90.6   71.8    2.0
2018  19  1 19 2100   -6.7  973.8    1.6  306.0   46.5    2.0
2018  20  1 20 0000   -1.9  973.3    1.6    3.6   50.3    0.3
2018  20  1 20 0300   -2.8  973.2    3.6  291.2   49.4    0.2
2018  20  1 20 0600   -2.0  971.1    4.1  332.2   40.3    0.5
2018  20  1 20 0900   -1.8  970.8    5.2  211.5   53.6    0.7
2018  20  1 20 1200   -2.5  970.5    2.2   12.6   63.9    0.9
2018  20  1 20 1500   -3.4  970.1    6.4  337.8   99.9    0.1
2018  20  1 20 1800   -3.4  970.9    4.4  342.8   99.8   -0.0
2018  20  1 20 2100   -1.5  971.2    1.8  277.0   76.8    0.4
2018  21  1 21 0000   -2.9  971.3    5.1  220.4   99.9    0.1
2018  21  1 21 0300   -2.9  971.2    3.2  217.5   99.9   -0.1
2018  21  1 21 0600   -5.4  972.9    2.1  159.2  100.0   -0.2
2018  21  1 21 0900   -7.9  973.7    1.0  321.8  100.0   -0.1
2018  21  1 21 1200   -8.3  974.0    1.8  176.7  100.0    0.1
2018  21  1 21 1500   -5.8  973.7    2.3   67.2   89.9    0.1
2018  21  1 21 1800   -3.7  972.7    3.4    8.8  100.1    0.1
2018  21  1 21 2100   -2.9  972.8    2.2  234.9   99.9   -0.1
2018  22  1 22 0000   -4.4  974.7    3.4  123.2   99.9   -0.7
